,seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
0,OWNER,1,BHK,Independent Floor,Mundhwa,6750,450,Unfurnished,1
1,OWNER,2,BHK,Apartment,Wakad,18000,916,Unfurnished,2
2,OWNER,3,BHK,Apartment,Wagholi,16500,1085,Semi-Furnished,3
3,OWNER,1,RK,Studio Apartment,Kothrud,8000,250,Furnished,1
4,OWNER,2,BHK,Apartment,Yerawada,25000,1005,Semi-Furnished,2
5,OWNER,1,BHK,Apartment,OTHERS,11000,600,Semi-Furnished,1
6,OWNER,2,BHK,Apartment,Pimple Saudagar,17000,900,Semi-Furnished,2
7,OWNER,2,BHK,Apartment,Hinjewadi,13500,900,Furnished,3
8,OWNER,1,RK,Studio Apartment,Dhanori,3500,200,Furnished,1
9,OWNER,1,BHK,Apartment,Nigdi,12000,1000,Semi-Furnished,1
10,OWNER,2,BHK,Apartment,Hinjewadi,12000,850,Semi-Furnished,2
11,OWNER,1,BHK,Independent Floor,Bopkhel,6500,500,Unfurnished,1
12,OWNER,3,BHK,Independent Floor,Viman Nagar,20000,1210,Furnished,2
13,OWNER,1,BHK,Apartment,Dhayari,8000,500,Unfurnished,1
15,OWNER,3,BHK,Apartment,Chakan,9500,1278,Semi-Furnished,2
16,OWNER,1,BHK,Independent Floor,Wagholi,6500,750,Unfurnished,1
17,OWNER,1,RK,Studio Apartment,Chinchwad,8000,315,Semi-Furnished,1
19,OWNER,3,BHK,Apartment,Kharadi,35000,1275,Furnished,3
20,OWNER,2,BHK,Apartment,Wakad,17000,1000,Unfurnished,2
21,OWNER,1,BHK,Apartment,Wagholi,7500,520,Semi-Furnished,1
22,OWNER,2,BHK,Apartment,Kalyani Nagar,30000,929,Unfurnished,2
23,OWNER,2,BHK,Apartment,Ravet,15000,660,Furnished,2
24,OWNER,1,BHK,Apartment,Wakad,14000,600,Unfurnished,1
25,OWNER,1,BHK,Independent House,Kharadi,9000,650,Unfurnished,1
26,OWNER,1,BHK,Apartment,Kothrud,13000,650,Semi-Furnished,1
27,OWNER,1,BHK,Independent House,Lohegaon,8000,650,Unfurnished,1
28,OWNER,1,RK,Studio Apartment,Mundhwa,4000,350,Unfurnished,1
29,OWNER,2,BHK,Apartment,Pimple Saudagar,24000,1080,Furnished,2
30,OWNER,1,RK,Studio Apartment,Parvati Darshan,12000,350,Semi-Furnished,1
31,OWNER,2,BHK,Apartment,Chikhali,9000,675,Semi-Furnished,1
32,OWNER,2,BHK,Apartment,Baner,17400,1100,Semi-Furnished,2
33,OWNER,2,BHK,Apartment,Kothrud,18000,1000,Furnished,2
35,OWNER,2,BHK,Apartment,Wakad,18500,1026,Semi-Furnished,2
36,OWNER,1,BHK,Apartment,Pimple Gurav,9500,650,Unfurnished,1
37,OWNER,1,BHK,Independent House,Wakad,16500,630,Semi-Furnished,1
38,OWNER,1,BHK,Independent House,Bhosari,8000,550,Unfurnished,1
39,OWNER,1,BHK,Apartment,Lohegaon,6800,450,Unfurnished,1
40,OWNER,2,BHK,Apartment,Undri,10000,900,Semi-Furnished,2
41,OWNER,1,RK,Studio Apartment,Dighi,4500,350,Unfurnished,1
42,OWNER,1,BHK,Apartment,Kharadi,11000,620,Semi-Furnished,1
